YEAR,NAME,VARIABLE,VALUE
2019,Licking,DEATHS,1801.0
2020,Licking,DEATHS,1953.0
2021,Licking,DEATHS,2178.0
2022,Licking,DEATHS,1987.0
2023,Licking,DEATHS,1861.0
2010,Logan,DEATHS,469.0
2011,Logan,DEATHS,423.0
2012,Logan,DEATHS,456.0
2013,Logan,DEATHS,480.0
2014,Logan,DEATHS,499.0
2015,Logan,DEATHS,511.0
2016,Logan,DEATHS,503.0
2017,Logan,DEATHS,504.0
2018,Logan,DEATHS,509.0
2019,Logan,DEATHS,503.0
2020,Logan,DEATHS,572.0
2021,Logan,DEATHS,624.0
2022,Logan,DEATHS,550.0
2023,Logan,DEATHS,544.0
2010,Madison,DEATHS,382.0
2011,Madison,DEATHS,365.0
2012,Madison,DEATHS,406.0
2013,Madison,DEATHS,397.0
2014,Madison,DEATHS,376.0
2015,Madison,DEATHS,423.0
2016,Madison,DEATHS,448.0
2017,Madison,DEATHS,445.0
2018,Madison,DEATHS,405.0
2019,Madison,DEATHS,439.0
2020,Madison,DEATHS,473.0
2021,Madison,DEATHS,557.0
2022,Madison,DEATHS,456.0
2023,Madison,DEATHS,457.0
2010,Marion,DEATHS,655.0
2011,Marion,DEATHS,643.0
2012,Marion,DEATHS,712.0
2013,Marion,DEATHS,705.0
2014,Marion,DEATHS,733.0
2015,Marion,DEATHS,758.0
2016,Marion,DEATHS,787.0
2017,Marion,DEATHS,763.0
2018,Marion,DEATHS,790.0
2019,Marion,DEATHS,814.0
2020,Marion,DEATHS,842.0
2021,Marion,DEATHS,934.0
2022,Marion,DEATHS,869.0
2023,Marion,DEATHS,840.0
2010,Morrow,DEATHS,304.0
2011,Morrow,DEATHS,312.0
2012,Morrow,DEATHS,298.0
2013,Morrow,DEATHS,295.0
2014,Morrow,DEATHS,320.0
2015,Morrow,DEATHS,350.0
2016,Morrow,DEATHS,321.0
2017,Morrow,DEATHS,351.0
2018,Morrow,DEATHS,312.0
2019,Morrow,DEATHS,342.0
2020,Morrow,DEATHS,380.0
2021,Morrow,DEATHS,416.0
2022,Morrow,DEATHS,392.0
2023,Morrow,DEATHS,377.0
2010,Perry,DEATHS,314.0
2011,Perry,DEATHS,344.0
2012,Perry,DEATHS,341.0
2013,Perry,DEATHS,324.0
2014,Perry,DEATHS,366.0
2015,Perry,DEATHS,328.0
2016,Perry,DEATHS,362.0
2017,Perry,DEATHS,366.0
2018,Perry,DEATHS,360.0
2019,Perry,DEATHS,394.0
2020,Perry,DEATHS,446.0
2021,Perry,DEATHS,491.0
2022,Perry,DEATHS,436.0
2023,Perry,DEATHS,443.0
2010,Pickaway,DEATHS,500.0
2011,Pickaway,DEATHS,490.0
2012,Pickaway,DEATHS,531.0
2013,Pickaway,DEATHS,503.0
2014,Pickaway,DEATHS,504.0
2015,Pickaway,DEATHS,562.0
2016,Pickaway,DEATHS,603.0
2017,Pickaway,DEATHS,666.0
2018,Pickaway,DEATHS,615.0
2019,Pickaway,DEATHS,643.0
2020,Pickaway,DEATHS,719.0
2021,Pickaway,DEATHS,767.0
2022,Pickaway,DEATHS,713.0
2023,Pickaway,DEATHS,629.0
2010,Ross,DEATHS,810.0
2011,Ross,DEATHS,805.0
2012,Ross,DEATHS,851.0
2013,Ross,DEATHS,762.0
2014,Ross,DEATHS,812.0
2015,Ross,DEATHS,870.0
2016,Ross,DEATHS,889.0
2017,Ross,DEATHS,811.0
2018,Ross,DEATHS,905.0
2019,Ross,DEATHS,929.0
2020,Ross,DEATHS,1095.0
2021,Ross,DEATHS,1146.0
2022,Ross,DEATHS,1138.0
2023,Ross,DEATHS,944.0
2010,Union,DEATHS,319.0
2011,Union,DEATHS,326.0
2012,Union,DEATHS,334.0
2013,Union,DEATHS,357.0
2014,Union,DEATHS,359.0
2015,Union,DEATHS,392.0
2016,Union,DEATHS,367.0
2017,Union,DEATHS,400.0
2018,Union,DEATHS,418.0
2019,Union,DEATHS,423.0
2020,Union,DEATHS,488.0
2021,Union,DEATHS,493.0
2022,Union,DEATHS,544.0
2023,Union,DEATHS,461.0
2010,15-County Region,NETMIG,4624.0
2011,15-County Region,NETMIG,7141.0
2012,15-County Region,NETMIG,6812.0
2013,15-County Region,NETMIG,13895.0
2014,15-County Region,NETMIG,14362.0
2015,15-County Region,NETMIG,13548.0
2016,15-County Region,NETMIG,12309.0
2017,15-County Region,NETMIG,19739.0
2018,15-County Region,NETMIG,11555.0
2019,15-County Region,NETMIG,7690.0
2020,15-County Region,NETMIG,3564.0
2021,15-County Region,NETMIG,-569.0
2022,15-County Region,NETMIG,11314.0
2023,15-County Region,NETMIG,11399.0
2010,Delaware,NETMIG,2388.0
2011,Delaware,NETMIG,2259.0
2012,Delaware,NETMIG,1399.0
2013,Delaware,NETMIG,3030.0
2014,Delaware,NETMIG,2777.0
2015,Delaware,NETMIG,2819.0
2016,Delaware,NETMIG,2696.0
2017,Delaware,NETMIG,2722.0
2018,Delaware,NETMIG,3276.0
2019,Delaware,NETMIG,3225.0
2020,Delaware,NETMIG,3528.0
2021,Delaware,NETMIG,5672.0
2022,Delaware,NETMIG,4599.0
2023,Delaware,NETMIG,4402.0
2010,Fairfield,NETMIG,400.0
2011,Fairfield,NETMIG,266.0
2012,Fairfield,NETMIG,-401.0
2013,Fairfield,NETMIG,959.0
2014,Fairfield,NETMIG,1131.0
2015,Fairfield,NETMIG,493.0
2016,Fairfield,NETMIG,1101.0
2017,Fairfield,NETMIG,1561.0
2018,Fairfield,NETMIG,919.0
2019,Fairfield,NETMIG,1278.0
2020,Fairfield,NETMIG,2080.0
2021,Fairfield,NETMIG,1793.0
2022,Fairfield,NETMIG,1922.0
2023,Fairfield,NETMIG,2300.0
2010,Fayette,NETMIG,8.0
2011,Fayette,NETMIG,-157.0
2012,Fayette,NETMIG,-133.0
2013,Fayette,NETMIG,-65.0
2014,Fayette,NETMIG,-15.0
2015,Fayette,NETMIG,-23.0
2016,Fayette,NETMIG,63.0
2017,Fayette,NETMIG,56.0
2018,Fayette,NETMIG,28.0
2019,Fayette,NETMIG,-147.0
2020,Fayette,NETMIG,116.0
2021,Fayette,NETMIG,34.0
2022,Fayette,NETMIG,29.0
2023,Fayette,NETMIG,64.0
2010,Franklin,NETMIG,1200.0
2011,Franklin,NETMIG,5322.0
2012,Franklin,NETMIG,8741.0
2013,Franklin,NETMIG,10148.0
2014,Franklin,NETMIG,9496.0
2015,Franklin,NETMIG,9745.0
2016,Franklin,NETMIG,7485.0
