YEAR,NAME,BIRTHS,DEATHS,NETMIG,POPEST,NATINC,NPOPCHG,RBIRTHS,RDEATHS,RNETMIG,RNATINC,RPOPCHG
2022,Marion,734,869,-482,64609,-135,-617,11.360646349579781,13.450138525592411,-7.460260954356205,-2.08949217601263,-9.549753130368835
2023,Marion,700,840,359,64851,-140,219,10.793973878583214,12.952768654299856,5.53576660344482,-2.158794775716643,3.376971827728177
2010,Morrow,389,304,-132,34790,85,-47,11.181373958033918,8.738143144581777,-3.7941937338315608,2.4432308134521414,-1.3509629203794193
2011,Morrow,409,312,-38,34810,97,59,11.749497270899166,8.962941683424303,-1.0916403332375753,2.7865555874748633,1.694915254237288
2012,Morrow,398,298,-86,34834,100,14,11.42561864844692,8.55486019406327,-2.468852270769937,2.870758454383648,0.4019061836137107
2013,Morrow,368,295,-64,34846,73,9,10.560753027607188,8.4658210411525,-1.8366527004534239,2.0949319864546867,0.2582792860012627
2014,Morrow,379,320,18,34937,59,77,10.848098004980393,9.159343961988723,0.5152130978618656,1.6887540429916708,2.2039671408535364
2015,Morrow,396,350,-31,34943,46,15,11.332741893941563,10.016312279998855,-0.8871590876570415,1.3164296139427067,0.42927052628566525
2016,Morrow,357,321,-61,34922,36,-25,10.222782200332169,9.191913407021362,-1.7467498997766453,1.030868793310807,-0.7158811064658382
2017,Morrow,359,351,-39,34911,8,-31,10.2832917991464,10.05413766434648,-1.117126407149609,0.22915413479991978,-0.8879722723496892
2018,Morrow,396,312,138,35113,84,222,11.277874291572921,8.885597926693817,3.9301683137299577,2.3922763648791046,6.322444678609062
2019,Morrow,368,342,151,35328,26,177,10.416666666666666,9.680706521739129,4.274230072463768,0.7359601449275361,5.010190217391304
2020,Morrow,350,380,48,34980,-30,18,10.005717552887365,10.863350485991996,1.37221269296741,-0.8576329331046313,0.5145797598627788
2021,Morrow,389,416,241,35205,-27,214,11.049566822894477,11.816503337594092,6.845618520096577,-0.7669365146996165,6.078682005396961
2022,Morrow,365,392,187,35336,-27,160,10.32940910119991,11.093502377179082,5.292053429929817,-0.7640932759791714,4.527960153950645
2023,Morrow,414,377,280,35595,37,317,11.630847029077119,10.591375193145105,7.866273352999017,1.039471835932013,8.90574518893103
2010,Perry,444,314,-12,36037,130,118,12.32067042206621,8.713266920109888,-0.33299109248827596,3.607403501956323,3.274412409468047
2011,Perry,438,344,60,36232,94,154,12.088761315963788,9.494369618017222,1.6559947008169573,2.5943916979465667,4.250386398763524
2012,Perry,391,341,-297,35984,50,-247,10.86594041796354,9.476433970653623,-8.253668297020898,1.3895064473099155,-6.864161849710983
2013,Perry,458,324,-101,36000,134,33,12.722222222222221,9.0,-2.8055555555555554,3.7222222222222223,0.9166666666666666
2014,Perry,431,366,-133,35926,65,-68,11.996882480654678,10.187607860602348,-3.7020542225686133,1.8092746200523298,-1.8927796025162833
2015,Perry,444,328,-21,35967,116,95,12.344649261823339,9.119470625851475,-0.5838685461673201,3.2251786359718633,2.641310089804543
2016,Perry,410,362,-63,35998,48,-15,11.389521640091116,10.056114228568255,-1.750097227623757,1.3334074115228625,-0.4166898161008945
2017,Perry,420,366,-86,35972,54,-32,11.675747803847436,10.174580229067052,-2.3907483598354276,1.5011675747803848,-0.8895807850550428
2018,Perry,408,360,3,36039,48,51,11.321068842087739,9.989178390077416,0.08324315325064513,1.331890452010322,1.4151336052609673
